ความถี่,"ผู้รับอนุญาต	"
108.3,กรมสื่อสารทหารอากาศ
108.3,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ
108.75,กรมสื่อสารทหารอากาศ
109.1,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด
109.3,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด
109.5,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด
109.7,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด
109.9,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด
109.9,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด
